repo	score	disk_kb	lang	stars	description
liljencrantz/anna	6	4416	C	8	Interpreter for statically typed, duck typed language with list style macros
MunVM/MunVM	6	77	C	8	
nickelsworth/alice	6	1140	C	8	alice pascal : a syntax-directed editor and interpreter for pascal
thblt/uberwald	6	1686	C	8	A simple Lisp interpreter to teach myself about Lisps and Interpreters.
0branch/regina	6	2920	C	7	The Regina Rexx interpreter. Mirror of https://svn.code.sf.net/p/regina-rexx/code (git svn clone).
davidchisnall/jsrun	6	1207	C	7	Experimental JavaScript interpreter for FreeBSD
emmaconnor/dots	6	7	Python	7	A Turing-complete programming language with only one symbol: "."
kvbc/brackets	6	35	JavaScript	7	An esolang with brackets, a lot of brackets
marcelklehr/magnet	6	288	JavaScript	7	An experiment: A duck-typed, object-oriented, syntax-driven (and potentially awesome) programming language.
pirate/assembly-repl	6	1439	C	7	A REPL for raw ASM assembly, LLVM IR, C++, C, Objective C, and WASM on macOS/Linux ARM64/AMD64. Useful for learning asse
spk121/guile-plotutils	6	4635	C	7	This is a binding of the GNU Plotutils plotting and graphing library for the GNU Guile interpreter of the Scheme program
voithos/awl	6	1083	C	7	Experimental Lispy mini-language
DeybisMelendez/ni	6	1443	Lua	6	Ni is a small esoteric programming language turing complete, cell based, like brainfuck.
ittner/Lua-experimentation	6	2984	C	6	General hacking and experimentation with the Lua interpreter (patches, work versions, etc.)
my2iu/TADS2-html5	6	3374	C	6	Port of the TADS 2 interpreter for HTML5
Nakilon/rasel	6	302	Ruby	6	RASEL (Random Access Stack Esoteric Language) reference implementation
oatmealine/78	6	6	JavaScript	6	an esolang focused on the numbers 7 and 8
cxd4/mupen86	6	3608	C	5	Misnomer for this experimental x86-64 fork of Mupen64 0.5's (pure) interpreter.
dhustkoder/pschip8	6	3040	C	5	PlayStation 1 Chip8 Interpreter
dreadpiratepj/emo-framework-fork	6	4948	C	5	A fork of emo-framework, an open source game engine by Kota Iguchi. Check out the original project for the stable versio
fstirlitz/c-bsp	6	196	C	5	C implementation of the Binary Scripted Patch specification
juhana/hugojs	6	1004	C	5	HugoJS online Hugo interpreter
las-r/aergia	6	314	Python	5	A minimal yet usable programming language.
upbqdn/Pascal-interpreter	6	3228	C	5	A simplified Pascal interpreter
matthewfl/ilang	6	1676	C++	5	A new programming language in the works
PlanetAPL/nars2000	6	3313	C	5	nars2000 - An experimental APL interpreter
sungwoncho/tru	6	26	Python	5	An esoteric programming language with prefix-free brackets
verhas/ScriptBasic	6	1103	C	5	The original source repository for the classic ScriptBasic interpreter as or www.scriptbasc.com
Arc676/Vongsprache	6	181	C	4	I bims eine Programmiersprache!
eagr/sol-repl	6	355	JavaScript	4	Solidity REPL
Sodel-the-Vociferous/baremetal-lisp	6	1632	C	4	One of my earliest projects: a toy lisp interpreter that runs on bare hardware
usqcd-software/qlua	6	2167	C	4	Qlua interpreter
wewei/PythonGeek	6	4648	C	4	A python interpreter on iOS
wrapl/wrapl	6	3262	C	4	Wrapl, The Programming Language
AloneCafe/l2	6	136	C	4	一种简单的、动态弱类型的、解释型的脚本编程语言，及其脚本解释器的设计与实现
begah-old/Andrua	6	3900	C	3	Crossplatform code editor and interpreter for Lua running on Android and Dekstop.
binji/pnacl.c	6	4359	C	3	PNaCl reader/parser/interpreter in C
cicada-lang/cicada	6	4		3	Cicada Language
grafovdenis/SmallBasic_Interpreter	6	2555	C	3	Low level programming coursework
jansegre/luar	6	2208	C	3	A rustic Rust API that embeds the C Lua interpreter.
jrwebb56/OPEN-DESIRE	6	2497	C	3	Dr G. A. Korn's experiment-protocol interpreter and differential equation solver
mwiedeV1/v1	6	2692	C++	3	V1 Scripting Language
nk521/attu	6	5	C	3	A simple instruction executor written in C just for education purpose!
onetom/saphir	6	1324	C	3	Saphirion's fork of the REBOL 3 interpreter.
seoushi/Kitsune-Programming-Language	6	1196	C++	3	A simple prototype based programming language
stdio2016/OOPS	6	99	C	3	OOPS! 這個語言好難。這才是純物件導向語言
kaijchen/vmassembly	6	2932	C	2	an Assembly Interpreter for a Virtual Machine (prob. 0 in ccf-ccsp 2016)
dmitr101/brnfck	6	1049	C	2	brainfuck interpreter
garretraziel/guppy	6	3846	C	2	Simple almost-lua interpreter.
gramster/PEW	6	1042	C	2	A Protocol Engineering Workbench - IDE, compiler, VM, interpreter, debugger for Estelle (Extended State Transition Langu
jordemort/embryo	6	3464	C	2	SMALL-based abstract machine (AMX) bytecode interpreter
Mr-Monster-0248/Algorithm-interpretor	6	2158	C	2	An algorithm interpretor in C language for the 3rd project in first year at EFREI
Ninesquared81/motorway-lang	6	48	Python	2	An esoteric programming language based on the British motorway network
olewhalehunter/libra	6	53	Prolog	2	a lazy interpreter of binary relational algebra 
rattata2me/cuddly-calculator	6	172	C	2	Calculator and 2d Graphics Library. Open source and designed for low-end processors. Made in C
Skaylatk/Kantalo	6	153	JavaScript	2	here is the open source of the kantalo language along with the documentation
till-s/cexpsh	6	1260	C	2	C-expression interpreter/shell and run-time linker/loader
wizzard0/dotNetAnywhere-wb	6	3382	C	2	My fork of dotNetAnywhere.org's CIL interpreter, dated about 2010.
BlueDream145/minishell_1	6	19	C	1	Epitech Project, minishell_1
madkne/MPL_interpreter	6	3766	C	1	A small,fast and simple interpreter also best solution to common problems of programmers.
bubble-07/ConCurC	6	1616	C	1	An interpreter for the Concur programming language written in C.
chrender/fizmo-sdl	6	1412	C	1	SDL-based frontend for the fizmo interpreter.
fhammoud/interpreter	6	1135	C	1	Custom language interpreter written in C
henrythacker/--c	6	1876	C	1	Basic interpreter, TAC generator & MIPS compiler for --C. Part of the coursework for CM30171.
joakimthun/Chippy	6	1113	C	1	A simple CHIP-8 interpreter written in C
kvitajakub/interpreterLua	6	1136	C	1	School interpreter of Lua.
rzbin/libra	6	28	Haskell	1	♎️ Libra is a basic stack-based programming language simulated through Haskell.
SherlockLee/FileModeForInterpreter	6	1672	C	1	
spk121/serveez-mg	6	3876	C	1	A server framework for the Guile 2.0 Scheme interpreter derived from the GNU Serveez project.
tcort/lmc	6	43	C	1	a virtual machine implementation of Dr. Madnick's "Little Man Computer" along with an assembler.
tnguyen0317/Compilers-and-interpreters	6	2256	C	1	Labs in Örebro University course called Compilers and Interpreters
zeotrope/anicca	6	1002	C	1	Prototype J interpreter
Carlos2396/Interpreter	6	2853	C	0	
hfoffani/hypolambda	6	186	C#	0	A very compact functional programming language for .NET.
maria-sabo/InterpreterLoop	6	1556	C	0	Курсовая работа по программированию. Интерпретатор языка Loop.
rald/pbrain	6	129	Brainfuck	0	pbrain interpreter in c
SanTiepi/benoit	6	718	JavaScript	0	Benoît — A programming language where functions are algebra and modules are messages between machines.. Built for human-
golang/go	5	443498	Go	135081	The Go programming language
kelseyhightower/nocode	5	5	Dockerfile	65436	The best way to write secure and reliable applications. Write nothing; deploy nowhere.
php/php-src	5	641651	C	40207	The PHP Interpreter
carbon-language/carbon-lang	5	114586	C++	33852	Carbon Language's main repository: documents, design, implementation, and related tools. (NOTE: Carbon Language is exper
emscripten-core/emscripten	5	267337	C++	27447	Emscripten: An LLVM-to-WebAssembly Compiler
argotorg/solidity	5	84186	C++	25670	Solidity, the Smart Contract Programming Language
go-delve/delve	5	34597	Go	24804	Delve is a debugger for the Go programming language.
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition	5	340	Java	23728	FizzBuzz Enterprise Edition is a no-nonsense implementation of FizzBuzz made by serious businessmen for serious business
RustPython/RustPython	5	100407	Rust	22148	A Python Interpreter written in Rust
gleam-lang/gleam	5	28586	Rust	21616	⭐️ A friendly language for building type-safe, scalable systems!
bytecodealliance/wasmtime	5	155715	Rust	18265	A lightweight WebAssembly runtime that is fast, secure, and standards-compliant
nim-lang/Nim	5	124570	Nim	18069	Nim is a statically typed compiled systems programming language. It combines successful concepts from mature languages l
rust-lang/rust-analyzer	5	119555	Rust	16613	A Rust compiler front-end for IDEs
benfred/py-spy	5	3230	Rust	15302	Sampling profiler for Python programs
analysis-tools-dev/static-analysis	5	41724	Rust	14652	⚙️ A curated list of static analysis (SAST) tools and linters for all programming languages, config files, build tools, 
gruns/icecream	5	488	Python	10057	🍦 Never use print() to debug again.
goplus/xgo	5	26366	Go	9440	XGo is a programming language that reads like plain English. But it's also incredibly powerful — it lets you leverage as
wasm-bindgen/wasm-bindgen	5	40023	Rust	9060	Facilitating high-level interactions between Wasm modules and JavaScript
capstone-engine/capstone	5	69684	C	8870	Capstone disassembly/disassembler framework for ARM, ARM64 (ARMv8), Alpha, BPF, Ethereum VM, HPPA, LoongArch, M68K, M680
aemkei/jsfuck	5	142	JavaScript	8598	Write any JavaScript with 6 Characters: []()!+
traefik/yaegi	5	31605	Go	8316	Yaegi is Another Elegant Go Interpreter
boa-dev/boa	5	61833	Rust	7353	Boa is an embeddable Javascript engine written in Rust.
dop251/goja	5	2127	Go	6966	ECMAScript/JavaScript engine in pure Go
kkuchta/css-only-chat	5	21	Ruby	6595	A truly monstrous async web chat using no JS whatsoever on the frontend
halide/Halide	5	182652	C++	6547	a language for fast, portable data-parallel computation
ocaml/ocaml	5	402243	OCaml	6516	The core OCaml system: compilers, runtime system, base libraries
roc-lang/roc	5	233828	Zig	5749	A fast, friendly, functional language.
luau-lang/luau	5	23673	C++	5646	A small, fast, and embeddable programming language based on Lua with a gradual type system.
rocq-prover/rocq	5	214598	OCaml	5501	The Rocq Prover is an interactive theorem prover, or proof assistant. It provides a formal language to write mathematica
prompt-toolkit/ptpython	5	1191	Python	5439	A better Python REPL
pest-parser/pest	5	2559	Rust	5361	The Elegant Parser
ProvableHQ/leo	5	260913	Rust	4818	🦁 The Leo Programming Language. A Programming Language for Formally Verified, Zero-Knowledge Applications
cel-expr/cel-spec	5	1353	Starlark	3861	Common Expression Language -- specification and binary representation
NerdLang/nerd	5	171778	C++	3615	🔱 Javascript's God Mode. No VM. No Bytecode. No GC. Just native binaries.
emojicode/emojicode	5	28024	C	3408	😀😜🔂 World’s only programming language that’s bursting with emojis
dlang/dmd	5	201088	D	3287	dmd D Programming Language compiler
vadimcn/codelldb	5	4098	Rust	3242	A VSCode debugger extension for native code, powered by LLDB.
rubinius/rubinius	5	168116	C	3095	The Rubinius Language Platform
grame-cncm/faust	5	396271	C++	3077	Functional programming language for signal processing and sound synthesis
bazelbuild/starlark	5	4005	Python	3031	Starlark Language
espruino/Espruino	5	233580	C	2956	The Espruino JavaScript interpreter - Official Repo
ispc/ispc	5	50755	C++	2912	Intel® Implicit SPMD Program Compiler
beefytech/Beef	5	55970	C++	2821	Beef Programming Language
IoLanguage/io	5	31573	C	2776	Io programming language. Inspired by Self, Smalltalk and LISP.
bakpakin/Fennel	5	3400	Fennel	2740	Lua Lisp Language
aardappel/lobster	5	128255	C++	2728	The Lobster Programming Language
bytecodealliance/javy	5	107035	Rust	2697	JS to WebAssembly toolchain
lfe/lfe	5	4627	Erlang	2437	Lisp Flavoured Erlang (LFE)
jfecher/ante	5	42115	Rust	2247	A safe, easy systems language
nature-lang/nature	5	39026	C	2242	The Nature Programming Language
jameysharp/corrode	5	725	Haskell	2187	C to Rust translator
ryanmjacobs/c	5	164	Shell	2177	Compile and execute C "scripts" in one go!
oracle/graaljs	5	1198855	C++	2012	GraalJS – A high-performance, ECMAScript compliant, and embeddable JavaScript runtime for Java
gotcha/ipdb	5	211	Python	1973	Integration of IPython pdb
wa-lang/wa	5	30302	Go	1768	凹语言, The Wa Programming Language
kevinmehall/rust-peg	5	1203	Rust	1598	Parsing Expression Grammar (PEG) parser generator for Rust
robpike/ivy	5	1920	Go	1482	ivy, an APL-like calculator
ring-lang/ring	5	3683059	C	1449	A simple, lightweight, flexible, embeddable, portable and multi-paradigm dynamic programming language for developing app
sylefeb/Silice	5	56184	C++	1423	Silice is an easy-to-learn, powerful hardware description language, that simplifies designing hardware algorithms with p
noir-lang/noir	5	1229272	Rust	1367	Noir is a domain specific language for zero knowledge proofs
Marwes/combine	5	2376	Rust	1359	A parser combinator library for Rust
ldc-developers/ldc	5	177466	D	1349	The LLVM-based D Compiler.
ConsenSysDiligence/surya	5	887	JavaScript	1171	A set of utilities for exploring Solidity contracts 
evincarofautumn/kitten	5	2914	Haskell	1165	A statically typed concatenative systems programming language.
GaijinEntertainment/daScript	5	186374	C	1136	daslang - high-performance statically strong typed scripting language
nevalang/neva	5	30178	Go	1070	Next-Gen programming language for humans and AI. Hybrid visual/textual, parallelism by default, strict static typing, co
gnolang/gno	5	154259	Go	1069	Gno: An interpreted, stack-based Go virtual machine to build succinct and composable apps + gno.land: a blockchain for t
i-net-software/JWebAssembly	5	1982	Java	1048	Java bytecode to WebAssembly compiler
hamler-lang/hamler	5	1683	Erlang	1039	Haskell-style functional programming language running on Erlang VM.
raineorshine/solgraph	5	519	JavaScript	1026	Visualize Solidity control flow for smart contract security analysis.  :dollar: ⇆ :dollar:
sebastianwessel/quickjs	5	4315	TypeScript	912	A typescript package to execute JavaScript and TypeScript code in a webassembly quickjs sandbox
DennisMitchell/jellylanguage	5	1122	Python	910	Jelly is a recreational programming language inspired by J.
haskell/parsec	5	474	Haskell	888	A monadic parser combinator library
arturo-lang/arturo	5	83216	Nim	877	Simple, expressive & portable programming language for efficient scripting
ruby/ruby.wasm	5	3094	Ruby	857	ruby.wasm is a collection of WebAssembly ports of the CRuby.
pfalcon/pycopy	5	50300	C	819	Pycopy - a minimalist and memory-efficient Python dialect. Good for desktop, cloud, constrained systems, microcontroller
felix-lang/felix	5	90634	C	818	The Felix Programming Language
prathyvsh/pl-catalog	5	2343		777	A catalog of programming languages
refaktor/rye	5	144719	Go	686	Programming and interaction language. Flexible about syntax, strict about state.
ceifa/wasmoon	5	1395	TypeScript	675	A real lua 5.4 VM with JS bindings made with webassembly
goccmack/gocc	5	2493	Go	661	Parser / Scanner Generator
phantomics/april	5	4570	Common Lisp	658	The APL programming language (a subset thereof) compiling to Common Lisp.
silq-lang/silq	5	3907	Q#	646	Silq quantum programming language type checker, compiler, and experimental interpreter.
erezsh/Preql	5	1553	Python	631	An interpreted relational query language that compiles to SQL.
naver/lispe	5	7663401	C	604	An implementation of a full fledged Lisp interpreter with Data Structure, Pattern Programming and High level Functions w
JohnEarnest/Mako	5	2166	Forth	598	A simple virtual game console
IppClub/YueScript	5	22003	Lua	596	A delightful language that compiles to Lua
Gwion/Gwion	5	29358	C	581	:musical_note: strongly-timed musical programming language
paladin-t/my_basic	5	35957	C	565	A lightweight BASIC interpreter written in standard C in dual files. Aims to be embeddable, extendable and portable.
jondgoodwin/cone	5	24542	C	557	Cone Programming Language
paradigmxyz/solar	5	33324	Rust	550	Blazingly fast, modular and contributor friendly Solidity compiler, written in Rust
letoram/cat9	5	2495	Lua	530	A User shell for LASH
Dark-Basic-Software-Limited/Dark-Basic-Pro	5	119451	C++	524	Dark Basic Pro is an open source BASIC programming language for creating Windows applications and games
remobjects/pascalscript	5	3594	Pascal	507	pascalscript
mirth-lang/mirth	5	26260	C	489	Compiler for the Mirth programming language.
roscopeco/jasm	5	583	Java	472	A JVM assembler for the modern age
mraleph/irhydra	5	3763	JavaScript	439	Tool for displaying IR used by V8 and Dart VM optimizing compilers
ionelmc/python-manhole	5	545	Python	402	Debugging manhole for python applications.
enspirit/finitio	5	2313	JavaScript	396	Finitio is a language for validating, coercing and documenting data.
Rohansi/Mond	5	2825	C#	393	A scripting language for .NET Core
alex/rply	5	196	Python	392	An attempt to port David Beazley's PLY to RPython, and give it a cooler API.
harbour/core	5	169156	C	391	Portable, xBase compatible programming language and environment
eeue56/derw	5	1440	TypeScript	381	An Elm-inspired language that transpiles to TypeScript
nim-works/nimskull	5	111304	Nim	346	An in development statically typed systems programming language; with sustainability at its core. We, the community of u
tabemann/zeptoforth	5	69740	Forth	342	A not-so-small Forth for Cortex-M
nanoframework/nf-interpreter	5	59193	C	341	:gear: nanoFramework Interpreter, CLR, HAL, PAL and reference target boards
ixionlang/ixion	5	2034	Kotlin	340	🔮 modern scripting programming language
agraef/pure-lang	5	22742	C++	338	Pure programming language
LADSoft/OrangeC	5	168834	C++	337	OrangeC Compiler And Tool Chain
JamesBoer/Jinx	5	56405	C++	327	Embeddable scripting language for real-time applications
rsms/move	5	3173	JavaScript	305	A simple, functional-biased, prototypal and powerful programming language that runs on any ES3 (or better) JavaScript pl
c3d/xl	5	23008	C++	284	A minimalist, general-purpose programming language based on meta-programming and parse tree rewrites
NomicFoundation/slang	5	28087	Rust	279	Solidity compiler tooling by @NomicFoundation
LiXizhi/NPLRuntime	5	256542	C++	271	NPL - Neural Parallel Language
genkami/watson	5	2148	Go	269	WATSON: Wasted but Amazing Turing-incomplete Stack-based Object Notation
mmiscool/esp8266Basic	5	247886	C	265	Basic Interpreter for the ESP8266
instead-hub/instead	5	20471	C	257	  INSTEAD - Simple Text Adventure Interpreter
nitlang/nit	5	124755	C	257	Nit language
ELENA-LANG/elena-lang	5	48882	C++	240	ELENA is a general-purpose language with late binding. It is multi-paradigm, combining features of functional and object
luc-tielen/eclair-lang	5	4080	Haskell	230	A minimal, fast Datalog implementation in Haskell that compiles to LLVM IR
frenetic-lang/frenetic	5	103192	OCaml	229	The Frenetic Programming Language and Runtime System
charcoal-lang/Charcoal	5	1207	Python	227	A concise language for sketching ASCII art.
naver/tamgu	5	491574	C++	225	Tamgu (탐구), a FIL programming language: Functional, Imperative, Logical all in one for annotation and data augmentation
kekcleader/FreeOberon	5	50291	C	220	Cross-platform IDE for development in Oberon programming language made in the classical FreePascal-like pseudo-graphic s
SwadicalRag/wasm2lua	5	2374	WebAssembly	219	wasm2lua: converting WASM into Lua
biscuitlang/bl	5	410138	C	219	Simple programming language created for fun.
phreda4/r3	5	158713	Forth	211	r3 programing language - ColorForth inspired
charly-lang/charly	5	2737	Crystal	203	🐈 The Charly Programming Language | Written by @KCreate
EricGrange/DWScript	5	203916	Pascal	201	Delphi Web Script general purpose scripting engine
JohnBlood/awesome-basic	5	113		200	A curated list of awesome BASIC dialects, IDEs, and tutorials
tim-hardcastle/pipefish	5	52496	Go	184	Source code for the Pipefish programming language
PollRobots/scheme	5	1275	WebAssembly	182	An R7RS Scheme implemented in WebAssembly 
c3d/tao3D	5	138260	C++	178	The Art of 3D, a new language for dynamic document description of real-time 3D animations
WheretIB/nullc	5	36899	C++	168	Fast C-like programming language with advanced features
fanx-dev/fanx	5	3355	Fantom	166	A full-stack programming language
objeck/objeck-lang	5	3314742	C++	165	Lightweight object-oriented and functional programming language. Designed to be intuitive, small, cross-platform, and fa
justinmeiners/lisp-interpreter	5	2379	Scheme	164	Embeddable lisp/scheme interpreter written in C.
lboasso/oberonc	5	1188	Modula-2	164	An Oberon-07 compiler for the JVM
open-policy-agent/npm-opa-wasm	5	1786	JavaScript	156	Open Policy Agent WebAssembly NPM module (opa-wasm)
SPY/haskell-wasm	5	1031	Haskell	153	Haskell WebAssembly Toolkit
Floydlang/floyd	5	199862	C++	152	The Floyd programming language
rsms/co	5	2962	TypeScript	152	A programming language in early development
ALANVF/star	5	2346	Haxe	149	An experimental programming language that's made to be powerful, productive, and predictable
wonkey-coders/wonkey	5	234476	C++	144	Wonkey is an easy to learn, oriented object, modern and cross-platform programming language for creating cross-platform 
phreda4/r4	5	62346	Forth	141	:r4 concatenative programming language with ideas from ColorForth.
Draco-lang/Compiler	5	3925	C#	139	The compiler repository for the Draco programming language.
metaeducation/ren-c	5	121423	C	138	Library for embedding a Rebol interpreter into C codebases
AdeptLanguage/Adept	5	64706	C	131	The Adept Programming Language
dino-lang/dino	5	29720	C	131	The programming language DINO
bamless/jstar	5	23400	C	130	A lightweight embeddable scripting language
ekmett/bound	5	499	Haskell	129	Combinators for manipulating locally-nameless generalized de Bruijn terms
FreakC-Foundation/FreakC	5	1353	Batchfile	129	FreakC Programming Language - an experimental Batch-like language written in Batch which compiles to Batch
svenssonjoel/lispBM	5	36089	C	129	An interpreter for a concurrent lisp with message-passing and pattern-matching.
quil-lang/quil	5	435	TeX	127	Specification of Quil: A Practical Quantum Instruction Set Architecture
Lambda-Mountain-Compiler-Backend/LSTS	5	1290		125	Large Scale Type Systems: ML/C Hybrid Programming Language
bmx-ng/bmx-ng	5	4609	BlitzMax	125	The Open Source BlitzMax Compiler Project
dlang-community/libdparse	5	4109	D	124	Library for lexing and parsing D source code
jaseemabid/micromanual	5	426	TeX	124	A neatly typeset version of John McCarthy's classic paper
acquitelol/elle	5	38409	Rust	112	A procedural programming language built in Rust which compiles to QBE
MikeInnes/Charlotte.jl	5	51	Julia	112	Charlotte's Web Scale
graue/esofiles	5	2898	C	110	The Esoteric File Archive
Panzerschrek/U-00DC-Sprache	5	20912	C++	109	"Ü" programming language
paritytech/revive	5	28058	Rust	102	Solidity compiler for Polkadot, targetting PolkaVM in pallet-revive
syegulalp/Akilang	5	1288	Python	101	A compiler for a simple language, built with Python and LLVM
aanon4/BlueBasic	5	17753	C	99	BASIC interpreter for CC2540 and CC2541 Bluetooth LE chips
cozis/Noja	5	6309	C	98	A programming language written for fun!
c3d/elfe	5	6970	C++	93	Extensible Language for Everyday
Ttimofeyka/Rave	5	16160	C++	91	Compiled and statically typed programming language
cforall/cforall	5	12181	C++	87	The compiler and standard distribution for the C∀ programming language
marcelkottmann/esp32-javascript	5	11590	C	87	"Lightweight" JS interpreter for ESP32. Provides JS-based eventloop implementation and native asynchronous network and t
giraffekey/xylo	5	5430	Rust	80	A functional programming language for procedural art
ValKmjolnir/Nasal-Interpreter	5	9558	C++	71	Modern efficient runtime for Nasal: using stack-based direct-threading virtual machine.
barn-lang/barn	5	18471	C	55	Barn is a simple programming language written in C that is compiled to C.
pcmacdon/jsish	5	15347	C	46	Jsi is a small, C-embeddable javascript interpreter with tightly woven Web and DB support.
jespa007/zetscript	5	10963	C++	41	ZetScript is a programming language with an API that allows bind C++ code in script side.
sussman/twisty	5	6197	C	38	Twisty is a text-adventure interpreter for the Android operating system, playing both Z-machine and Glulx games.
c-jullien/lelisp	5	10991	Assembly	36	Le-Lisp by INRIA
martian56/raven	5	7715	Rust	34	Raven is a new systems and application programming language designed to combine the performance and control of C++, the 
phreppo/pilisp	5	8238	C	33	Lisp interpreter with bytecode compiler
aspl-lang/aspl	5	5750	C	31	ASPL is a modern, general-purpose programming language with a focus on simplicity, portability, and safety
Rinnegatamante/lua-player-plus	5	5700	C	30	Multiplatform Lua interpreter (PSP/PSP Go version)
slang-lang/slang	5	9085	C++	28	Statically typed scripting language... syntax errors should be catched at design time!
Diesel-Net/kiwi-8	5	16638	C	27	CHIP-8 interpreter for Windows, MacOS, and Linux
VorpalBlade/cfunge	5	6244	C	21	A fast Befunge93/98 interpreter in C
AJMartel/IRTriageCMD	5	6984	C	20	Fork of ReactOS (Cmd.exe), IRTriage Command Line Interpreter 
donpdonp/bitcoin-wasm	5	9017	C	12	The bitcoin script interpreter (cpp) compiled to webassembly.
phorward/rapidbatch	5	7544	C	12	A scripting language with most active years around 2005
seanofw/smile	5	10030	C	12	Smile programming language interpreter
claytonkb/Babel	5	5922	C	10	An interpreter
Fuechs/Lynx	5	14336	C++	10	C-like programming language
kevinboone/grotz	5	16470	C	10	A z-code/Infocom interpreter for Linux and WIndows
IsaacShelton/Adept3x	5	11413	Rust	8	A language designed to help maximize developer productivity and safety
Epictetus/Joyau	5	11931	C	5	A ruby interpreter for PSP, with some extension so that it could do things such as image loading, ...
proprowataya/calc4	5	7693	C++	5	The Calc4 Programming Language - Every code element is an operator, allowing programming in the style of a calculator
MirkoDziadzka/hu-prolog	5	7310	C	4	"HU Prolog" - a portable prolog interpreter from the '80s 
dflemstr/duk	5	5226	C	3	A high-level wrapper around the Duktape Javascript/EcmaScript interpreter.
hyung-hwan/qse	5	12671	C	3	AWK interpreter & SED stream editor written in C/C++. AWK is not developed here any more. Visit https://github.com/hyung
phorward/colm	5	17947	C++	2	Colm Language, includes Ragel 7.0+
sergeyrachev/khaotica	5	5420	C	2	Bitstream editor empowered with FLAVOR interpreter
instantiator/openbook-v2	5	13285	C	1	A 3D interactive fiction interpreter built in 2005...
mdbarr/vcsi	5	7571	C	1	Vaguely Coherent Scheme Interpreter - A R5RS Scheme implementation in C with a custom module system.
Pixilate/PyShell27	5	10909	C	1	Python27 interpreter wrapper for the 3DS
SherlockLee/BufferModeForInterpreter	5	5976	C	1	
SherlockLee/InterpreterForK0T	5	6824	C	1	
